num_point,time_sort,time_convex,time_convex_pred,residual,,,
180625,1.54648447,1.889998913,1.718230265,0.171745795,,,
181476,1.65150094,1.89849925,1.726995942,0.075495002,,,
182329,1.627999306,1.913500786,1.735785368,0.107786062,,,
183184,1.628000021,1.941500187,1.744598549,0.116598528,,,
184041,1.718498468,1.92050004,1.753435493,0.034937025,,,
184900,1.727999926,1.92800045,1.762296208,0.034296282,,,
185761,1.685501814,1.933998346,1.7711807,0.085678886,,,
186624,1.640000343,1.942002296,1.780088977,0.140088634,,,
187489,1.651000023,1.955000401,1.789021045,0.138021022,,,
188356,1.63849926,2.032000303,1.797976914,0.159477654,,,
189225,1.688499689,1.96600008,1.806956589,0.1184569,,,
190096,1.740499735,1.98800087,1.815960078,0.075460343,,,
190969,1.8089993,1.99000001,1.824987388,0.015988088,,,
191844,1.708999872,1.997500181,1.834038526,0.125038654,,,
192721,1.717002392,2.007995844,1.8431135,0.126111108,,,
193600,1.749998808,2.023000002,1.852212317,0.102213509,,,
194481,1.816499233,2.019500256,1.861334983,0.04483575,,,
195364,1.71249938,2.045000792,1.870481507,0.157982127,,,
196249,1.875999212,2.057500124,1.879651894,0.003652682,,,
197136,1.758500576,2.1025002,1.888846153,0.130345577,,,
198025,1.793498993,2.062999725,1.89806429,0.104565297,,,
198916,1.871498823,2.090002298,1.907306312,0.035807489,,,
199809,1.884501696,2.104000807,1.916572227,0.032070531,,,
200704,1.974998951,2.094501019,1.925862041,-0.04913691,,,
201601,1.851001024,2.11399889,1.935175762,0.084174738,,,
202500,1.843998909,2.128000021,1.944513396,0.100514487,,,
203401,1.811001301,2.152498245,1.953874951,0.14287365,,,
204304,1.841999292,2.158000946,1.963260433,0.121261141,,,
205209,1.826998234,2.179501295,1.972669849,0.145671615,,,
206116,1.958499908,2.164500237,1.982103207,0.023603299,,,
207025,1.8974998,2.201000452,1.991560513,0.094060713,,,
207936,1.911501646,2.200500011,2.001041775,0.089540129,,,
208849,1.873999119,2.196001053,2.010546998,0.136547879,,,
209764,1.932501554,2.194498301,2.020076191,0.087574637,,,
210681,2.006998777,2.19849968,2.029629359,0.022630582,,,
211600,1.934502363,2.2099967,2.03920651,0.104704147,,,
212521,1.949498892,2.21950078,2.048807651,0.099308759,,,
213444,1.99900198,2.243998528,2.058432788,0.059430808,,,
